scene_id,cand_id,scene_dur,n_tokens,human_AD_text,gen_AD_text,quality_score,tvad_name,consensus_score
friends_s01e01_seg02_clip_04,A,1.8619999999999948,7,His umbrella springs open between them.,"Phoebe holds Rachel's hand, looking at her.",0.1721846312284469,friends_s01e01_seg02_clip_04,0.6098551750183105
friends_s01e01_seg02_clip_04,B,1.8619999999999948,8,His umbrella springs open between them.,"Rachel kneels, holding a cup, as Phoebe gazes.",0.1642442494630813,friends_s01e01_seg02_clip_04,0.5837825536727905
friends_s01e01_seg02_clip_04,C,1.8619999999999948,9,His umbrella springs open between them.,"Phoebe Buffay stands in her wedding dress, holding Rachel.",0.095804251730442,friends_s01e01_seg02_clip_04,0.5409108400344849
friends_s01e01_seg02_clip_04,D,1.8619999999999948,8,His umbrella springs open between them.,"Rachel looks up at Phoebe, cup in hand.",0.175902783870697,friends_s01e01_seg02_clip_04,0.5895059108734131
friends_s01e01_seg02_clip_04,E,1.8619999999999948,9,His umbrella springs open between them.,"Phoebe Buffay stands, holding Rachel's hand, in a dress.",0.0938987433910369,friends_s01e01_seg02_clip_04,0.5921441316604614
friends_s01e01_seg02_clip_04,A,2.7050000000000125,12,"He awkwardly sits down, and Joey pats his shoulder.","Rachel stands in a wedding dress, talking to Phoebe on the couch.",0.2261675149202346,friends_s01e01_seg02_clip_04,0.5690895318984985
friends_s01e01_seg02_clip_04,B,2.7050000000000125,11,"He awkwardly sits down, and Joey pats his shoulder.","Phoebe sits on the couch, surrounded by Monica, Ross, and Joey.",0.4531099796295166,friends_s01e01_seg02_clip_04,0.475571870803833
friends_s01e01_seg02_clip_04,C,2.7050000000000125,13,"He awkwardly sits down, and Joey pats his shoulder.","Rachel wears a wedding dress, while Joey munches on food on the couch.",0.3711903393268585,friends_s01e01_seg02_clip_04,0.4929562509059906
friends_s01e01_seg02_clip_04,D,2.7050000000000125,13,"He awkwardly sits down, and Joey pats his shoulder.","Monica stands behind Phoebe, as Rachel talks to her in a wedding dress.",0.2067046612501144,friends_s01e01_seg02_clip_04,0.5450956225395203
friends_s01e01_seg02_clip_04,E,2.7050000000000125,17,"He awkwardly sits down, and Joey pats his shoulder.","Phoebe sits on the couch, with Ross and Monica nearby, while Rachel stands in a wedding dress.",0.2966912090778351,friends_s01e01_seg02_clip_04,0.6147619485855103
friends_s01e01_seg02_clip_04,A,1.100999999999999,4,Rachel sits next to him.,Rachel sits down smiling.,0.7075151801109314,friends_s01e01_seg02_clip_04,0.4355519413948059
friends_s01e01_seg02_clip_04,B,1.100999999999999,6,Rachel sits next to him.,Rachel puts hands on her lap.,0.5858767628669739,friends_s01e01_seg02_clip_04,0.5890859961509705
friends_s01e01_seg02_clip_04,C,1.100999999999999,6,Rachel sits next to him.,Rachel smiles at Monica and Phoebe.,0.5623608231544495,friends_s01e01_seg02_clip_04,0.601195216178894
friends_s01e01_seg02_clip_04,D,1.100999999999999,5,Rachel sits next to him.,Rachel sits with her hands.,0.7837626934051514,friends_s01e01_seg02_clip_04,0.5483888387680054
